frame,time_s,ego_x_m,ego_y_m,golf_cart_x_m,golf_cart_y_m
205,6.833333333333333,-12.835488779909072,5.253584440981038,-3.0820391782044094,1.9196226612695173
206,6.866666666666666,-12.769224426086426,5.2404399283132355,-3.059742093417002,1.9160167012448643
207,6.9,-12.71307690650731,5.232795664033952,-3.0380131517720805,1.914834339974238
208,6.933333333333334,-12.646175098998759,5.219066076718989,-3.0064066524657527,1.9081415742327055
209,6.966666666666667,-12.572837586753257,5.201821265488716,-2.9701051535705734,1.8988795783325139
210,7.0,-12.506651134073133,5.186550298923649,-2.9551552689070117,1.896807956589245
211,7.033333333333333,-12.447510307810818,5.175679610782875,-2.9365209021520897,1.8959224146643643
212,7.066666666666666,-12.379969755861758,5.161335995115498,-2.90515440348387,1.8898905336878848
213,7.1,-12.31642054617276,5.14843780535913,-2.873596563076097,1.8840337095507942
214,7.133333333333334,-12.248504348352505,5.133709113243873,-2.841521678454507,1.8787845784933777
215,7.166666666666667,-12.181338881655481,5.117646785661027,-2.8058428952676078,1.8693229414349086
216,7.2,-12.118023646670965,5.102996171154245,-2.7764610000336827,1.8617316712535246
217,7.233333333333333,-12.050097182053861,5.087765372042419,-2.7427745371220844,1.8539787328363544
218,7.266666666666667,-11.980783563551226,5.0703328495181035,-2.722412418976523,1.8501756599452825
219,7.3,-11.907713243824334,5.052624584732963,-2.6762900931847877,1.8370314260873162
220,7.333333333333333,-11.83384983468767,5.0329111217791604,-2.615667442791242,1.816598876234368
221,7.366666666666666,-11.774333946259484,5.018544772728225,-2.567965018194684,1.8015081874815273
222,7.4,-11.713470282765812,5.002748753656058,-2.543018376908517,1.7929278837710836
223,7.433333333333334,-11.65927736240259,4.990407027018147,-2.5228755098139057,1.7876691576675934
224,7.466666666666667,-11.599151279113087,4.976083182718405,-2.4988234295742835,1.7800289045968234
225,7.5,-11.53008984345867,4.959085361207238,-2.44546485720136,1.762265991847789
226,7.533333333333333,-11.473730847645394,4.946927551617573,-2.4203680117648982,1.7546673291482553
227,7.566666666666666,-11.416265452967691,4.934927261927126,-2.405729123750083,1.7520030808726643
228,7.6,-11.35461353175734,4.922272653451189,-2.383351361540333,1.7474955092828797
229,7.633333333333334,-11.29001747246426,4.909622839151753,-2.348696855901162,1.7376042530696432
230,7.666666666666667,-11.225837541469787,4.896388847377098,-2.3214393791143184,1.7322794850169894
231,7.7,-11.157628661967605,4.881829530348432,-2.2863721255996428,1.722027047519851
232,7.733333333333333,-11.094566835494891,4.86865906504501,-2.255853510314177,1.7139395873790995
233,7.766666666666667,-11.04381837984031,4.862266928489933,-2.244038755004187,1.7143753105894155
234,7.8,-10.990650685736854,4.853871317925521,-2.2314405506556128,1.712903804737727
235,7.833333333333333,-10.934292188523571,4.842593044282234,-2.224192429645285,1.7131063760842484
236,7.866666666666666,-10.869674234052,4.829626691732988,-2.196721268956898,1.7066351738664314
237,7.9,-10.812706462535012,4.820016447238606,-2.1722277788599094,1.7014506297288037
238,7.933333333333334,-10.751109251170199,4.808165610691648,-2.1211534443062856,1.68588604022557
239,7.966666666666667,-10.698978044467564,4.800961402985228,-2.121554765196027,1.689817031547443
240,8.0,-10.647706766983994,4.791188391892862,-2.122743408461563,1.6926929193149705
241,8.033333333333333,-10.578278387833016,4.774633581250378,-2.103731652066722,1.6869813056763334
242,8.066666666666666,-10.503910310645423,4.7550022628035125,-2.078838992483666,1.6775021481800367
243,8.1,-10.43620034187775,4.738064861773116,-2.0623525319241516,1.6705611275038361
244,8.133333333333333,-10.363271003440223,4.718478323205728,-2.0541573231990693,1.666332364221943
245,8.166666666666666,-10.28456075764256,4.697377310436088,-2.0261493986507677,1.6547721782575322
246,8.2,-10.214481384809837,4.680572388625705,-2.02029541870683,1.655462621296759
247,8.233333333333333,-10.140500143378226,4.661223306579079,-2.0187095103222017,1.654899637020248
248,8.266666666666667,-10.060089746832945,4.638834890006016,-2.007999059832578,1.649869165842182
249,8.3,-9.987403589849608,4.619810838365947,-1.996995627654977,1.645190731115933
250,8.333333333333334,-9.914197761351673,4.6016153663600905,-1.9812768884837402,1.6391028137313026
251,8.366666666666667,-9.84204800587283,4.583724686939458,-1.9916797743107741,1.6432497062579166
252,8.4,-9.760619545299111,4.5613790433978965,-1.988146979800991,1.6418089199236943
253,8.433333333333334,-9.681150132703578,4.541458810440536,-2.0036388555857023,1.6487553732691924
254,8.466666666666667,-9.598250797507042,4.520847449638418,-1.96792508951311,1.638869883875433
255,8.5,-9.52158623124525,4.505300795311149,-1.9491928417407296,1.637300329013355
256,8.533333333333333,-9.447825422326229,4.490875046583469,-1.9622843852594993,1.6473080009569343
257,8.566666666666666,-9.368643512154506,4.473527656090415,-1.9246949443776007,1.6358691046215945
258,8.6,-9.292805442899281,4.457477609889626,-1.9115057361176033,1.6341016702196804
259,8.633333333333333,-9.221365772109387,4.441489996607525,-1.8896364873342888,1.627785480492184
260,8.666666666666666,-9.153248310859384,4.427907320933216,-1.885263288332502,1.6284605517170747
261,8.7,-9.080717735031163,4.409139484074938,-1.8211032393215003,1.6011554515315645
262,8.733333333333333,-9.010479725952552,4.391872241050208,-1.773740088828215,1.58136744731115
263,8.766666666666667,-8.931812487693922,4.3697200264915015,-1.7458244776157708,1.5680442335393066
264,8.8,-8.853330678867236,4.348604049895288,-1.726719660383977,1.560051993069159
265,8.833333333333334,-8.771089033769933,4.327454622154586,-1.698457929399086,1.5489624318665354
266,8.866666666666667,-8.693370758303404,4.304582821043017,-1.6817586900472703,1.5398487490148316
267,8.9,-8.622059575484558,4.284212184931543,-1.6687547350245975,1.5331602067740335
268,8.933333333333334,-8.545591106495605,4.26081119911108,-1.6486006676878011,1.521651836219125
269,8.966666666666667,-8.475084036193328,4.238991669662518,-1.6383072643114822,1.5129999127897151
270,9.0,-8.396167295983112,4.209947140628827,-1.63658099980203,1.5025839825605325
271,9.033333333333333,-8.331262426003589,4.182142395394424,-1.616632927654364,1.4826969828565653
272,9.066666666666666,-8.276097540277604,4.159576496319331,-1.6286596026700666,1.477239234746444
273,9.1,-8.243396582283859,4.14335693840104,-1.6378907412349433,1.4683646999659836
274,9.133333333333333,-8.211570549139584,4.127557957194783,-1.6881557080892193,1.4766114607107501
275,9.166666666666666,-8.145602385832856,4.108100307636344,-1.665653235591412,1.4661358822225976
276,9.2,-8.082865307374691,4.091800353413645,-1.7284458836472805,1.4918588765691037
277,9.233333333333333,-8.02199040673337,4.0758732247488965,-1.7625101497880689,1.5068285298063766
278,9.266666666666667,-7.968092283021927,4.0638580868775405,-1.7593088725196893,1.5089481639426676
279,9.3,-7.9104805602179455,4.0501202287687645,-1.7931284038012931,1.5254704012819542
280,9.333333333333334,-7.861897395208634,4.036182600844901,-1.834449214335339,1.5416128371233784
281,9.366666666666667,-7.813072953234099,4.0251573334058115,-1.8110851634261182,1.533555451582128
282,9.4,-7.7620309231036195,4.013138458828879,-1.7868651751784492,1.5252015057042887
283,9.433333333333334,-7.72566524625552,4.0065193243708626,-1.7777241047101136,1.5238806884437115
284,9.466666666666667,-7.683546716439697,3.9956644679250837,-1.762259631010373,1.5184104687545368
285,9.5,-7.651614059329008,3.9909953272596645,-1.7602232952401966,1.5213401634269905
286,9.533333333333333,-7.603362972224146,3.9840516951409506,-1.7506055871423403,1.5262392312640247
287,9.566666666666666,-7.5567083765527165,3.976882928129263,-1.756282607231074,1.5366897184284958
288,9.6,-7.490631325825419,3.96321264356764,-1.769568353814015,1.5520834353545059
289,9.633333333333333,-7.42276376340443,3.948504111492361,-1.7357325097452412,1.5483139898121876
290,9.666666666666666,-7.3980110670431225,3.941270923034185,-1.7639757142077128,1.5591534094924389
291,9.7,-7.377154644356213,3.935099970045591,-1.7530647311442769,1.5540737267831446
292,9.733333333333333,-7.357984643574662,3.9298087082404387,-1.752583145163353,1.553201676388202
293,9.766666666666667,-7.340475503976185,3.924370706390495,-1.7598740240868622,1.5546325777993695
294,9.8,-7.329396061224637,3.920375070663101,-1.737825779700663,1.543319336585593
295,9.833333333333334,-7.318667745006958,3.9180838029995986,-1.724928333132123,1.5378102804402562
296,9.866666666666667,-7.30770255872443,3.915322331223175,-1.7438412323494346,1.5456828482089784
297,9.9,-7.298675985802842,3.913396999576051,-1.761555749565976,1.5530089475669149
298,9.933333333333334,-7.28666268539568,3.9098916820584853,-1.7791530911552318,1.5599292262753632
