frame_id,light_x_cam_m,light_y_cam_m,light_z_cam_m,x_m,y_m,original_depth_valid
201,14.085820261637368,-0.3156895538171132,3.599141152699788,-13.059086221139154,5.288691653556344,1
202,14.015106773376464,-0.30153501530488336,3.598860947291056,-12.988549003944675,5.273683343425692,1
203,13.969480005900063,-0.2889773656924565,3.6037958463033033,-12.941679667020454,5.267144098024426,1
204,13.91773592631022,-0.27558307548364,3.607818984985351,-12.888861870054175,5.258950374424807,1
205,13.866601880391437,-0.2593722969293594,3.610405429204304,-12.835488779909072,5.253584440981038,1
206,13.800550015767415,-0.2451985895633697,3.61116984685262,-12.769224426086426,5.2404399283132355,1
207,13.745966084798177,-0.229981059829394,3.6155353705088293,-12.71307690650731,5.232795664033952,1
208,13.679097175598145,-0.21609212905168532,3.614992316563924,-12.646175098998759,5.219066076718989,1
209,13.604926617940265,-0.20288218607505162,3.6110722064971927,-12.572837586753257,5.201821265488716,1
210,13.538104120890297,-0.19069191018740334,3.6089468320210774,-12.506651134073133,5.186550298923649,1
211,13.47949384053548,-0.1772515147924423,3.6100503921508786,-12.447510307810818,5.175679610782875,1
212,13.411795234680174,-0.16367343564828232,3.606146399180094,-12.379969755861758,5.161335995115498,1
213,13.348334058125813,-0.15034885605176287,3.6045351028442383,-12.31642054617276,5.14843780535913,1
214,13.28013801574707,-0.1369755953550339,3.6010634104410806,-12.248504348352505,5.133709113243873,1
215,13.212103144327799,-0.12512424290180205,3.597090180714925,-12.181338881655481,5.117646785661027,1
216,13.14816277821859,-0.11350146060188611,3.594858439763387,-12.118023646670965,5.102996171154245,1
217,13.079758453369143,-0.10058518486718336,3.5911647955576576,-12.050097182053861,5.087765372042419,1
218,13.00920842488607,-0.0891412330791354,3.588273525238037,-11.980783563551226,5.0703328495181035,1
219,12.935099665323895,-0.07646266759062806,3.582938687006632,-11.907713243824334,5.052624584732963,1
220,12.859468523661297,-0.06531124428535501,3.578799692789713,-11.83384983468767,5.0329111217791604,1
221,12.799129422505699,-0.05493213872735699,3.5768169879913327,-11.774333946259484,5.018544772728225,1
222,12.736986541748049,-0.04533202812696496,3.572652753194173,-11.713470282765812,5.002748753656058,1
223,12.682336997985841,-0.03520196393753092,3.5716583887735998,-11.65927736240259,4.990407027018147,1
224,12.621454429626466,-0.0245421666962405,3.569788487752278,-11.599151279113087,4.976083182718405,1
225,12.55130812327067,-0.012798933094988266,3.564808670679727,-11.53008984345867,4.959085361207238,1
226,12.494742457071942,-0.0016421346925199044,3.563150151570637,-11.473730847645394,4.946927551617573,1
227,12.43722324371338,0.010097483390321333,3.5625264962514236,-11.416265452967691,4.934927261927126,1
228,12.375600687662761,0.02289432246858875,3.5602489153544106,-11.35461353175734,4.922272653451189,1
229,12.311276626586913,0.03686156431213021,3.5577419916788737,-11.29001747246426,4.909622839151753,1
230,12.247103309631347,0.05012759128585458,3.5571497917175297,-11.225837541469787,4.896388847377098,1
231,12.178705596923827,0.06377229178324341,3.5537343025207524,-11.157628661967605,4.881829530348432,1
232,12.115584119160967,0.07665383514637747,3.552441612879436,-11.094566835494891,4.86865906504501,1
233,12.066453679402667,0.0908828565540413,3.554276116689047,-11.04381837984031,4.862266928489933,1
234,12.014308357238768,0.10423034131526945,3.5563187917073575,-10.990650685736854,4.853871317925521,1
235,11.958091481526692,0.11619456087549526,3.5560903549194345,-10.934292188523571,4.842593044282234,1
236,11.893621953328449,0.12987981836001075,3.5528235276540125,-10.869674234052,4.829626691732988,1
237,11.8375062306722,0.14361697460214295,3.5529540379842124,-10.812706462535012,4.820016447238606,1
238,11.77625223795573,0.15713019594550132,3.551835680007935,-10.751109251170199,4.808165610691648,1
239,11.725530497233073,0.17116117378075918,3.554052956899007,-10.698978044467564,4.800961402985228,1
240,11.67458101908366,0.18249282489220303,3.556312052408854,-10.647706766983994,4.791188391892862,1
241,11.604273223876955,0.19478817035754523,3.55320250193278,-10.578278387833016,4.774633581250378,1
242,11.528211212158206,0.20621489087740577,3.5507641156514484,-10.503910310645423,4.7550022628035125,1
243,11.459329795837403,0.21747836768627166,3.5500739097595218,-10.43620034187775,4.738064861773116,1
244,11.384606615702312,0.2283764064311981,3.547192128499349,-10.363271003440223,4.718478323205728,1
245,11.303975423177084,0.2401732842127482,3.5424179553985597,-10.28456075764256,4.697377310436088,1
246,11.232970809936523,0.2524967898925145,3.5421325524648033,-10.214481384809837,4.680572388625705,1
247,11.157375780741374,0.2640294661124547,3.5396683375040694,-10.140500143378226,4.661223306579079,1
248,11.074673589070638,0.2753175377845764,3.5331565697987877,-10.060089746832945,4.638834890006016,1
249,11.000396474202475,0.2866357604662577,3.5289281368255616,-9.987403589849608,4.619810838365947,1
250,10.9259703318278,0.2989206234614054,3.526515992482503,-9.914197761351673,4.6016153663600905,1
251,10.852634620666505,0.3110671083132426,3.5258240540822348,-9.84204800587283,4.583724686939458,1
